Solution,User,Slot,POI,Transport
Solution_1,User_1,slot1,The Hotel Higashiyama kyoto tokyu,stay
Solution_1,User_1,slot2,move,Rental Bicycle
Solution_1,User_1,slot3,平安神宮,stay
Solution_1,User_1,slot4,平安神宮,stay
Solution_1,User_1,slot5,move,walk
Solution_1,User_1,slot6,山元麺蔵,stay
Solution_1,User_1,slot7,move,bus
Solution_1,User_1,slot8,南禅寺,stay
Solution_1,User_1,slot9,南禅寺,stay
Solution_1,User_1,slot10,move,walk
Solution_1,User_1,slot11,蹴上インクライン,stay
Solution_1,User_1,slot12,move,taxi
Solution_1,User_1,slot13,京都岡崎蔦屋書店,stay
Solution_1,User_1,slot14,move,walk
Solution_1,User_1,slot15,The Hotel Higashiyama kyoto tokyu,stay
