Solution,User,Slot,POI,Transport
Solution_1,User_1,slot1,平安神宮,stay
Solution_1,User_1,slot2,move,Rental Bicycle
Solution_1,User_1,slot3,岡崎公園,stay
Solution_1,User_1,slot4,move,Walking
Solution_1,User_1,slot5,琵琶湖疎水,stay
Solution_1,User_1,slot6,琵琶湖疎水,stay
Solution_1,User_1,slot7,move,Rental Bicycle
Solution_1,User_1,slot8,京つけもの大安本店,stay
Solution_1,User_1,slot9,move,Walking
Solution_1,User_1,slot10,蹴上インクライン,stay
Solution_1,User_1,slot11,蹴上インクライン,stay
Solution_1,User_1,slot12,蹴上インクライン,stay
Solution_1,User_1,slot13,move,Rental Bicycle
Solution_1,User_1,slot14,京都ハンディクラフトセンター,stay
Solution_1,User_1,slot15,move,Taxi
Solution_1,User_2,slot1,南禅寺,stay
Solution_1,User_2,slot2,南禅寺,stay
Solution_1,User_2,slot3,南禅寺,stay
Solution_1,User_2,slot4,move,Rental Bicycle
Solution_1,User_2,slot5,京都市京セラ美術館,stay
Solution_1,User_2,slot6,move,Walking
Solution_1,User_2,slot7,日向大神宮,stay
Solution_1,User_2,slot8,move,Walking
Solution_1,User_2,slot9,岡崎公園,stay
Solution_1,User_2,slot10,move,Rental Bicycle
Solution_1,User_2,slot11,平安神宮,stay
Solution_1,User_2,slot12,move,Taxi
Solution_1,User_2,slot13,琵琶湖疎水,stay
Solution_1,User_2,slot14,琵琶湖疎水,stay
Solution_1,User_2,slot15,琵琶湖疎水,stay
Solution_1,User_3,slot1,move,Walking
Solution_1,User_3,slot2,琵琶湖疎水,stay
Solution_1,User_3,slot3,琵琶湖疎水,stay
Solution_1,User_3,slot4,move,Walking
Solution_1,User_3,slot5,京都ハンディクラフトセンター,stay
Solution_1,User_3,slot6,move,Walking
Solution_1,User_3,slot7,南禅寺,stay
Solution_1,User_3,slot8,move,Walking
Solution_1,User_3,slot9,蹴上インクライン,stay
Solution_1,User_3,slot10,move,Walking
Solution_1,User_3,slot11,岡崎公園,stay
Solution_1,User_3,slot12,move,Rental Bicycle
Solution_1,User_3,slot13,京都岡崎蔦屋書店,stay
Solution_1,User_3,slot14,move,Walking
Solution_1,User_3,slot15,神宮道商店街,stay
Solution_1,User_4,slot1,京都ハンディクラフトセンター,stay
Solution_1,User_4,slot2,move,Taxi
Solution_1,User_4,slot3,琵琶湖疎水,stay
Solution_1,User_4,slot4,move,Rental Bicycle
Solution_1,User_4,slot5,京都市京セラ美術館,stay
Solution_1,User_4,slot6,京都市京セラ美術館,stay
Solution_1,User_4,slot7,move,Rental Bicycle
Solution_1,User_4,slot8,日図デザイン博物館,stay
Solution_1,User_4,slot9,日図デザイン博物館,stay
Solution_1,User_4,slot10,move,Walking
Solution_1,User_4,slot11,岡崎公園,stay
