Solution,User,Slot,POI,Transport
Solution_1,User_1,slot1,The Hotel Higashiyama kyoto tokyu,stay
Solution_1,User_1,slot2,move,Rental Bicycle
Solution_1,User_1,slot3,平安神宮,stay
Solution_1,User_1,slot4,move,walk
Solution_1,User_1,slot5,岡崎公園,stay
Solution_1,User_1,slot6,move,walk
Solution_1,User_1,slot7,京生麩のお店愛麩,stay
Solution_1,User_1,slot8,move,bus
Solution_1,User_1,slot9,蹴上インクライン,stay
Solution_1,User_1,slot10,蹴上インクライン,stay
Solution_1,User_1,slot11,move,taxi
Solution_1,User_1,slot12,京都ハンディクラフトセンター,stay
Solution_1,User_1,slot13,京都ハンディクラフトセンター,stay
Solution_1,User_1,slot14,move,bus
Solution_1,User_1,slot15,The Hotel Higashiyama kyoto tokyu,stay
